mssv,ho_ten,khoa,nam_hoc,tinh_tp,so_tin_chi,gpa,gio_tu_hoc,ngay_nhap_hoc
2200253,Hoàng Thanh Sơn,Kỹ thuật Công nghệ,3,Đà Nẵng,23,2.92,9.4,2022-09-06
2200254,Bùi Ngọc Yến,Kinh tế,2,Đà Nẵng,15,2.32,4.5,2022-09-05
2200255,Lê Quốc An,Ngôn ngữ,1,Đà Nẵng,18,2.93,7.1,2022-09-07
2200256,Phạm Minh Dũng,Kỹ thuật Công nghệ,1,Đà Nẵng,20,2.76,11.2,2022-09-23
2200257,Huỳnh Thanh Mai,Kinh tế,4,TP. Hồ Chí Minh,14,3.62,15.9,2022-09-20
2200258,Nguyễn Hữu Oanh,Du lịch,1,Khánh Hòa,15,2.46,3.5,2022-09-11
2200259,Lê Thanh Khanh,Kỹ thuật Công nghệ,1,Cần Thơ,15,2.78,11.0,2022-09-11
2200260,Huỳnh Gia Khanh,Luật,2,Hà Nội,21,2.4,10.1,2022-09-06
2200261,Huỳnh Gia Vy,Kỹ thuật Công nghệ,2,Hà Nội,16,2.42,5.7,2022-09-10
2200262,Huỳnh Gia Vy,Kinh tế,3,Đồng Nai,24,2.68,,2022-09-09
2200263,Lê Hữu Giang,Kỹ thuật Công nghệ,4,Cần Thơ,23,3.02,5.9,2022-09-12
2200264,Đặng Hữu Thảo,Du lịch,3,Cần Thơ,17,3.5,14.0,2022-09-19
2200265,Phạm Văn Mai,Du lịch,1,Đà Nẵng,22,2.34,10.8,2022-09-09
2200266,Bùi Thị Dũng,Ngôn ngữ,1,Cần Thơ,20,3.34,7.1,2022-09-13
2200267,Đặng Ngọc Yến,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,22,3.31,11.0,2022-09-11
2200268,Phạm Quốc An,Du lịch,2,TP. Hồ Chí Minh,18,2.04,3.7,2022-09-18
2200269,Hoàng Thị Hà,Ngôn ngữ,2,TP. Hồ Chí Minh,24,3.72,9.7,2022-09-17
2200270,Hoàng Hữu Khanh,Kinh tế,3,Lâm Đồng,16,3.48,9.5,2022-09-21
2200271,Vũ Thị Thảo,Ngôn ngữ,2,Khánh Hòa,21,2.1,10.4,2022-09-20
2200272,Phạm Thanh Bình,Du lịch,4,Hà Nội,23,2.76,,2022-09-17
2200273,Vũ Gia Tuấn,Ngôn ngữ,1,Đồng Nai,17,3.1,8.8,2022-09-21
2200274,Huỳnh Văn Giang,Luật,1,TP. Hồ Chí Minh,12,2.46,12.0,2022-09-18
2200275,Hoàng Hữu An,Kỹ thuật Công nghệ,1,Đà Nẵng,22,2.88,12.0,2022-09-08
2200276,Huỳnh Ngọc Hùng,Luật,2,Cần Thơ,16,2.51,5.1,2022-09-19
2200277,Phan Ngọc Mai,Kinh tế,1,TP. Hồ Chí Minh,12,3.82,15.9,2022-09-05
2200278,Nguyễn Thanh Oanh,Kinh tế,4,Cần Thơ,19,2.49,11.5,2022-09-08
2200279,Trần Quốc Tuấn,Ngôn ngữ,1,Đà Nẵng,13,2.29,13.7,2022-09-25
2200280,Nguyễn Hữu Giang,Luật,3,Đà Nẵng,17,2.56,11.2,2022-09-23
2200281,Hoàng Gia Hùng,Ngôn ngữ,2,Hà Nội,18,2.94,8.6,2022-09-11
2200282,Bùi Gia Tuấn,Kinh tế,2,TP. Hồ Chí Minh,16,2.28,7.7,2022-09-20
2200283,Bùi Thị Khanh,Du lịch,4,Hà Nội,22,3.25,12.8,2022-09-20
2200284,Huỳnh Ngọc Mai,Du lịch,1,Hà Nội,23,3.11,15.2,2022-09-23
2200285,Vũ Thị Dũng,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,18,2.92,4.1,2022-09-17
2200286,Nguyễn Thanh Tuấn,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,22,2.73,10.0,2022-09-12
2200287,Lê Minh Khanh,Kinh tế,2,Lâm Đồng,13,2.45,10.8,2022-09-13
2200288,Đặng Quốc Quân,Kỹ thuật Công nghệ,2,Khánh Hòa,13,2.34,7.5,2022-09-17
2200289,Nguyễn Thị Sơn,Kỹ thuật Công nghệ,2,Đồng Nai,14,2.11,7.2,2022-09-12
2200290,Huỳnh Ngọc Hùng,Kỹ thuật Công nghệ,4,Cần Thơ,15,2.96,7.3,2022-09-17
2200291,Lê Ngọc Phúc,Ngôn ngữ,4,TP. Hồ Chí Minh,23,2.73,7.9,2022-09-16
2200292,Phạm Thị Hùng,Kinh tế,3,TP. Hồ Chí Minh,13,2.69,6.5,2022-09-19
2200293,Vũ Gia Bình,Du lịch,3,TP. Hồ Chí Minh,23,2.79,6.5,2022-09-22
2200294,Trần Văn Thảo,Ngôn ngữ,1,Hà Nội,15,3.07,5.7,2022-09-15
2200295,Lê Văn Oanh,Luật,1,Đà Nẵng,13,2.8,7.6,2022-09-10
2200296,Bùi Quốc Vy,Luật,1,Bình Dương,24,3.01,,2022-09-08
2200297,Phạm Quốc Vy,Du lịch,1,Hà Nội,24,2.21,7.6,2022-09-25
2200298,Vũ Hữu Bình,Luật,4,Hà Nội,17,3.25,5.0,2022-09-14
2200299,Phạm Thanh Phúc,Du lịch,1,TP. Hồ Chí Minh,19,2.24,8.7,2022-09-08
2200300,Lê Thị Vy,Kinh tế,4,TP. Hồ Chí Minh,16,3.62,17.7,2022-09-20
2200301,Phan Thanh Oanh,Luật,1,TP. Hồ Chí Minh,12,2.23,11.3,2022-09-24
2200302,Bùi Quốc Linh,Kinh tế,1,TP. Hồ Chí Minh,24,2.11,9.8,2022-09-14
2200303,Lê Gia Chi,Ngôn ngữ,1,Cần Thơ,19,3.05,11.9,2022-09-09
2200304,Vũ Thị Vy,Kỹ thuật Công nghệ,3,Bình Dương,12,2.76,9.4,2022-09-21
2200305,Phan Thanh Nam,Du lịch,1,Khánh Hòa,24,2.86,10.9,2022-09-05
2200306,Hoàng Gia Sơn,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,16,2.13,2.6,2022-09-16
2200307,Trần Hữu Dũng,Kinh tế,1,Đà Nẵng,21,3.32,4.4,2022-09-09
2200308,Nguyễn Thị Quân,Kinh tế,2,TP. Hồ Chí Minh,20,2.52,11.5,2022-09-08
2200309,Nguyễn Ngọc Phúc,Kinh tế,2,Hà Nội,19,3.14,5.1,2022-09-24
2200310,Bùi Gia Phúc,Luật,1,Hà Nội,24,2.86,13.0,2022-09-20
2200311,Bùi Quốc Yến,Kinh tế,2,Khánh Hòa,19,3.13,8.3,2022-09-25
2200312,Vũ Văn Nam,Kỹ thuật Công nghệ,3,Lâm Đồng,23,2.49,6.9,2022-09-17
2200313,Vũ Quốc Tuấn,Du lịch,1,Bình Dương,14,2.83,5.1,2022-09-14
2200314,Nguyễn Thanh Chi,Ngôn ngữ,2,Hà Nội,17,2.68,10.4,2022-09-11
2200315,Hoàng Gia Quân,Du lịch,4,Hà Nội,17,2.68,8.8,2022-09-05
2200316,Bùi Ngọc Hùng,Du lịch,4,Hà Nội,16,2.42,9.7,2022-09-19
2200317,Phan Ngọc Oanh,Luật,2,Hà Nội,14,2.05,1.6,2022-09-24
2200318,Hoàng Thị Quân,Kinh tế,1,TP. Hồ Chí Minh,22,2.63,6.2,2022-09-11
2200319,Phạm Ngọc Sơn,Du lịch,3,TP. Hồ Chí Minh,22,3.16,9.2,2022-09-18
2200320,Vũ Thanh Hà,Kinh tế,3,TP. Hồ Chí Minh,14,3.23,7.1,2022-09-20
2200321,Lê Gia Yến,Kinh tế,4,Đà Nẵng,23,3.07,10.7,2022-09-05
2200322,Đặng Ngọc Yến,Ngôn ngữ,3,Đà Nẵng,23,2.54,7.8,2022-09-17
2200323,Vũ Văn Khanh,Du lịch,1,Bình Dương,18,2.06,6.6,2022-09-10
2200324,Bùi Minh Oanh,Kỹ thuật Công nghệ,4,Đồng Nai,21,3.55,9.2,2022-09-16
2200325,Trần Văn Sơn,Kinh tế,4,Hà Nội,23,3.45,11.6,2022-09-11
2200326,Phan Gia Hùng,Kỹ thuật Công nghệ,1,Đà Nẵng,24,2.61,,2022-09-07
2200327,Trần Hữu An,Ngôn ngữ,4,Đà Nẵng,20,3.01,5.5,2022-09-07
2200328,Nguyễn Thị Linh,Kỹ thuật Công nghệ,3,Lâm Đồng,13,2.48,6.3,2022-09-11
2200329,Lê Ngọc Oanh,Ngôn ngữ,1,Bình Dương,22,3.13,2.8,2022-09-10
2200330,Lê Ngọc Tuấn,Du lịch,2,Bình Dương,24,3.18,5.3,2022-09-22
2200331,Huỳnh Minh An,Du lịch,4,Hà Nội,19,2.03,6.4,2022-09-21
2200332,Phạm Văn Mai,Kinh tế,2,Cần Thơ,14,2.6,7.4,2022-09-05
2200333,Phan Thị Mai,Du lịch,2,TP. Hồ Chí Minh,14,2.9,8.5,2022-09-22
2200334,Trần Quốc Linh,Ngôn ngữ,2,Bình Dương,24,2.14,9.2,2022-09-06
2200335,Lê Hữu Phúc,Du lịch,3,TP. Hồ Chí Minh,24,2.61,5.8,2022-09-25
2200336,Nguyễn Thị Hà,Ngôn ngữ,2,Đà Nẵng,15,2.13,4.5,2022-09-16
2200337,Trần Ngọc Hà,Ngôn ngữ,4,Đà Nẵng,19,2.99,13.0,2022-09-10
2200338,Lê Minh Tuấn,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,16,2.91,4.1,2022-09-10
2200339,Lê Quốc Tuấn,Kinh tế,1,TP. Hồ Chí Minh,18,2.28,11.5,2022-09-13
2200340,Vũ Văn Dũng,Kinh tế,1,TP. Hồ Chí Minh,17,2.25,7.6,2022-09-22
2200341,Đặng Thị Thảo,Kỹ thuật Công nghệ,1,Đà Nẵng,18,3.39,1.9,2022-09-18
2200342,Hoàng Văn Chi,Kỹ thuật Công nghệ,3,Hà Nội,18,2.52,7.4,2022-09-12
2200343,Đặng Văn Phúc,Kỹ thuật Công nghệ,1,Đồng Nai,12,2.06,3.4,2022-09-21
2200344,Nguyễn Thị Bình,Du lịch,4,Đà Nẵng,16,2.77,11.8,2022-09-18
2200345,Nguyễn Gia Quân,Kinh tế,3,Đà Nẵng,23,2.13,14.1,2022-09-13
2200346,Trần Minh Yến,Kỹ thuật Công nghệ,4,Đồng Nai,12,3.41,7.5,2022-09-05
2200347,Nguyễn Văn Yến,Ngôn ngữ,2,Lâm Đồng,18,2.84,10.1,2022-09-11
2200348,Trần Ngọc Thảo,Ngôn ngữ,2,TP. Hồ Chí Minh,13,3.1,12.5,2022-09-16
2200349,Phan Ngọc Chi,Luật,1,,17,2.5,10.5,2022-09-16
2200350,Vũ Thị Mai,Kinh tế,4,Hà Nội,14,2.75,10.2,2022-09-13
2200351,Phan Thanh Sơn,Ngôn ngữ,2,TP. Hồ Chí Minh,12,2.47,5.8,2022-09-21
2200352,Huỳnh Văn An,Kinh tế,2,Lâm Đồng,14,1.8,8.9,2022-09-14
2200353,Bùi Minh Hùng,Ngôn ngữ,2,TP. Hồ Chí Minh,20,2.87,6.5,2022-09-08
2200354,Phạm Văn Trang,Kinh tế,1,Hà Nội,13,1.63,4.0,2022-09-13
2200355,Phạm Quốc Oanh,Kinh tế,1,Cần Thơ,18,2.86,2.3,2022-09-18
2200356,Huỳnh Thị Quân,Ngôn ngữ,1,TP. Hồ Chí Minh,21,2.13,7.9,2022-09-17
2200357,Lê Thị Giang,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,20,2.35,9.5,2022-09-24
2200358,Đặng Gia Khanh,Kinh tế,2,TP. Hồ Chí Minh,21,1.77,10.7,2022-09-13
2200359,Hoàng Hữu An,Kinh tế,2,Hà Nội,18,2.25,9.7,2022-09-09
2200360,Phan Minh Phúc,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,24,2.77,8.5,2022-09-14
2200361,Đặng Gia Vy,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,13,3.22,,2022-09-06
2200362,Phạm Ngọc Nam,Kinh tế,2,Đồng Nai,21,2.55,2.7,2022-09-08
2200363,Đặng Minh Quân,Du lịch,3,Đà Nẵng,23,3.13,11.9,2022-09-14
2200364,Bùi Hữu Oanh,Luật,3,Hà Nội,22,1.93,7.3,2022-09-14
2200365,Bùi Hữu Linh,Du lịch,2,Đồng Nai,22,2.74,9.1,2022-09-12
2200366,Phạm Thanh Trang,Kinh tế,2,TP. Hồ Chí Minh,19,2.84,13.3,2022-09-19
2200367,Hoàng Minh Hà,Kỹ thuật Công nghệ,4,Khánh Hòa,14,2.95,11.4,2022-09-05
2200368,Huỳnh Văn Trang,Luật,4,Bình Dương,14,2.81,10.0,2022-09-09
2200369,Phạm Quốc Chi,Kinh tế,3,Đồng Nai,22,2.47,9.4,2022-09-08
2200370,Phan Thanh Tuấn,Kỹ thuật Công nghệ,1,Khánh Hòa,20,,8.7,2022-09-21
2200371,Huỳnh Văn Yến,Ngôn ngữ,1,Đà Nẵng,15,,8.1,2022-09-25
2200372,Trần Minh Nam,Kỹ thuật Công nghệ,1,Bình Dương,18,3.05,8.1,2022-09-12
2200373,Hoàng Ngọc Sơn,Du lịch,1,TP. Hồ Chí Minh,13,3.01,6.9,2022-09-06
2200374,Đặng Minh Bình,Du lịch,1,TP. Hồ Chí Minh,21,2.35,12.3,2022-09-23
2200375,Bùi Hữu Chi,Ngôn ngữ,1,,18,1.96,13.0,2022-09-11
2200376,Vũ Thị Giang,Ngôn ngữ,1,TP. Hồ Chí Minh,12,2.53,4.1,2022-09-09
2200377,Lê Thanh Phúc,Kinh tế,1,TP. Hồ Chí Minh,16,1.86,9.4,2022-09-14
2200378,Phan Văn Trang,Ngôn ngữ,3,Đà Nẵng,17,2.61,9.5,2022-09-16
2200379,Đặng Gia Nam,Kỹ thuật Công nghệ,2,Cần Thơ,14,2.55,10.6,2022-09-09
2200380,Vũ Gia Bình,Kinh tế,3,Cần Thơ,15,2.95,6.1,2022-09-10
2200381,Trần Văn Mai,Ngôn ngữ,2,TP. Hồ Chí Minh,24,2.13,8.0,2022-09-10
2200382,Trần Thanh Trang,Kinh tế,4,Đồng Nai,21,3.3,8.8,2022-09-21
2200383,Trần Hữu Khanh,Kỹ thuật Công nghệ,3,Đà Nẵng,19,2.37,8.6,2022-09-19
2200384,Nguyễn Minh Giang,Kỹ thuật Công nghệ,1,Đồng Nai,12,2.5,8.5,2022-09-11
2200385,Phạm Gia Khanh,Luật,2,Đồng Nai,21,2.41,11.5,2022-09-07
2200386,Lê Thị Quân,Kinh tế,1,Cần Thơ,12,2.5,,2022-09-15
2200387,Bùi Gia Yến,Luật,3,Đà Nẵng,24,2.94,7.6,2022-09-05
2200388,Nguyễn Thanh Trang,Luật,3,Hà Nội,20,3.26,,2022-09-25
2200389,Bùi Thanh Khanh,Du lịch,2,Đà Nẵng,20,,8.3,2022-09-24
2200390,Phạm Gia An,Du lịch,2,TP. Hồ Chí Minh,15,2.3,7.5,2022-09-06
2200391,Hoàng Quốc Chi,Kinh tế,1,TP. Hồ Chí Minh,12,2.66,6.5,2022-09-21
2200392,Phan Quốc Linh,Kinh tế,2,Bình Dương,12,2.99,5.1,2022-09-25
2200393,Lê Gia Hùng,Kinh tế,3,Hà Nội,21,2.52,11.6,2022-09-08
2200394,Hoàng Ngọc An,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,22,,0.5,2022-09-19
2200395,Trần Thị Dũng,Kỹ thuật Công nghệ,1,Bình Dương,12,2.83,10.4,2022-09-08
2200396,Vũ Minh Bình,Du lịch,4,Hà Nội,18,1.58,2.5,2022-09-17
2200397,Nguyễn Hữu Linh,Kinh tế,2,TP. Hồ Chí Minh,23,2.58,6.5,2022-09-06
2200398,Lê Ngọc Quân,Du lịch,3,TP. Hồ Chí Minh,21,3.11,11.4,2022-09-12
2200399,Hoàng Thị Trang,Kỹ thuật Công nghệ,1,Cần Thơ,12,2.21,8.4,2022-09-05
2200400,Hoàng Quốc Hùng,Kinh tế,1,TP. Hồ Chí Minh,12,,12.3,2022-09-18
2200401,Trần Thanh Dũng,Du lịch,1,Khánh Hòa,19,2.06,8.4,2022-09-09
2200402,Nguyễn Ngọc Tuấn,Du lịch,4,TP. Hồ Chí Minh,22,2.79,7.5,2022-09-19
2200403,Trần Thanh Hà,Kỹ thuật Công nghệ,1,Đồng Nai,13,1.93,12.8,2022-09-18
2200404,Đặng Ngọc Trang,Ngôn ngữ,3,Hà Nội,22,2.1,14.2,2022-09-05
2200405,Đặng Thanh Hà,Kỹ thuật Công nghệ,2,Bình Dương,22,,,2022-09-20
2200406,Hoàng Gia Thảo,Ngôn ngữ,2,TP. Hồ Chí Minh,12,2.18,11.4,2022-09-24
2200407,Trần Gia Giang,Kỹ thuật Công nghệ,1,Lâm Đồng,15,2.29,5.6,2022-09-15
2200408,Huỳnh Minh Dũng,Ngôn ngữ,2,TP. Hồ Chí Minh,15,2.36,,2022-09-09
2200409,Nguyễn Hữu Sơn,Luật,4,Khánh Hòa,20,1.66,8.1,2022-09-08
2200410,Đặng Minh Oanh,Kinh tế,1,Cần Thơ,12,,18.3,2022-09-13
2200411,Trần Gia Yến,Ngôn ngữ,2,Hà Nội,12,2.58,9.1,2022-09-07
2200412,Bùi Quốc Khanh,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,24,2.66,11.2,2022-09-20
2200413,Đặng Minh Thảo,Kinh tế,1,Hà Nội,18,3.05,12.0,2022-09-19
2200414,Vũ Ngọc An,Kinh tế,1,TP. Hồ Chí Minh,24,2.23,10.2,2022-09-14
2200415,Lê Hữu Giang,Du lịch,2,Bình Dương,17,2.72,6.4,2022-09-25
2200416,Phan Minh Vy,Kinh tế,1,TP. Hồ Chí Minh,19,2.16,4.2,2022-09-10
2200417,Đặng Thanh Hà,Du lịch,2,Cần Thơ,22,,14.3,2022-09-12
2200418,Hoàng Minh Hà,Ngôn ngữ,2,Đà Nẵng,24,2.97,8.1,2022-09-09
2200419,Bùi Quốc Linh,Kỹ thuật Công nghệ,4,Đồng Nai,17,2.21,11.9,2022-09-18
2200420,Trần Gia Quân,Kinh tế,1,Khánh Hòa,20,2.19,8.8,2022-09-14
2200421,Đặng Gia Giang,Kinh tế,2,TP. Hồ Chí Minh,18,2.23,4.9,2022-09-13
2200422,Lê Quốc Chi,Luật,1,TP. Hồ Chí Minh,17,2.54,10.5,2022-09-20
2200423,Phạm Văn Quân,Luật,2,Đồng Nai,23,2.3,19.4,2022-09-11
2200424,Vũ Thị Tuấn,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,20,2.54,14.3,2022-09-18
2200425,Lê Thanh Tuấn,Ngôn ngữ,3,TP. Hồ Chí Minh,13,2.75,11.4,2022-09-20
2200426,Phạm Gia Quân,Kỹ thuật Công nghệ,2,Hà Nội,15,2.93,12.8,2022-09-22
2200427,Phan Thị Vy,Kinh tế,1,TP. Hồ Chí Minh,15,2.91,9.4,2022-09-14
2200428,Trần Ngọc Thảo,Kỹ thuật Công nghệ,3,Hà Nội,16,2.76,6.2,2022-09-21
2200429,Phạm Thanh An,Kỹ thuật Công nghệ,4,Đà Nẵng,19,3.27,11.8,2022-09-25
2200430,Phan Văn Nam,Kỹ thuật Công nghệ,3,Đồng Nai,24,2.15,6.0,2022-09-24
2200431,Vũ Quốc Linh,Ngôn ngữ,4,TP. Hồ Chí Minh,23,2.86,10.6,2022-09-15
2200432,Huỳnh Gia Oanh,Kỹ thuật Công nghệ,2,Hà Nội,24,1.29,7.5,2022-09-20
2200433,Bùi Thanh Thảo,Ngôn ngữ,3,TP. Hồ Chí Minh,18,2.35,11.2,2022-09-07
2200434,Huỳnh Hữu Mai,Du lịch,4,Hà Nội,23,3.26,15.0,2022-09-25
2200435,Vũ Gia Yến,Kỹ thuật Công nghệ,3,Đà Nẵng,20,2.93,9.5,2022-09-17
2200436,Huỳnh Gia Bình,Kinh tế,4,Đà Nẵng,21,3.47,7.7,2022-09-15
2200437,Đặng Thị Tuấn,Kỹ thuật Công nghệ,1,Cần Thơ,23,2.46,7.3,2022-09-25
2200438,Trần Ngọc Quân,Luật,2,Bình Dương,17,2.24,6.6,2022-09-20
2200439,Nguyễn Thị Trang,Du lịch,1,TP. Hồ Chí Minh,12,2.28,7.6,2022-09-23
2200440,Hoàng Hữu Hùng,Kỹ thuật Công nghệ,4,Đà Nẵng,24,2.67,9.4,2022-09-06
2200441,Lê Gia Tuấn,Luật,3,TP. Hồ Chí Minh,23,2.6,8.6,2022-09-07
2200442,Vũ Văn Oanh,Luật,3,Cần Thơ,16,2.92,10.3,2022-09-06
2200443,Lê Minh Linh,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,16,3.12,3.7,2022-09-17
2200444,Đặng Văn Nam,Luật,3,Đồng Nai,24,2.1,8.7,2022-09-16
2200445,Nguyễn Quốc Giang,Luật,4,Hà Nội,24,2.15,3.9,2022-09-14
2200446,Đặng Thị Giang,Ngôn ngữ,1,Bình Dương,22,2.76,8.3,2022-09-05
2200447,Phan Ngọc Oanh,Kỹ thuật Công nghệ,3,Cần Thơ,24,2.71,5.9,2022-09-10
2200448,Phan Thị Quân,Ngôn ngữ,1,Bình Dương,23,2.1,11.2,2022-09-10
2200449,Bùi Minh Sơn,Ngôn ngữ,2,Đồng Nai,16,2.7,7.6,2022-09-17
2200450,Bùi Thanh Thảo,Kỹ thuật Công nghệ,4,Đà Nẵng,18,2.53,2.1,2022-09-09
2200451,Phan Ngọc Hùng,Kỹ thuật Công nghệ,1,,22,2.06,12.6,2022-09-18
2200452,Trần Hữu Quân,Ngôn ngữ,1,Đà Nẵng,21,1.83,5.0,2022-09-14
2200453,Huỳnh Quốc Trang,Kỹ thuật Công nghệ,3,Đà Nẵng,18,2.92,10.8,2022-09-17
2200454,Bùi Thanh Phúc,Ngôn ngữ,1,Đồng Nai,19,2.35,6.4,2022-09-21
2200455,Hoàng Văn Bình,Kỹ thuật Công nghệ,2,Đà Nẵng,13,2.47,11.3,2022-09-19
2200456,Hoàng Ngọc An,Du lịch,1,TP. Hồ Chí Minh,24,2.13,7.9,2022-09-19
2200457,Phan Văn Quân,Kinh tế,1,Hà Nội,22,2.61,9.5,2022-09-19
2200458,Phạm Gia Thảo,Kinh tế,4,TP. Hồ Chí Minh,18,2.16,6.2,2022-09-23
2200459,Phan Thị Trang,Ngôn ngữ,1,Hà Nội,24,1.59,3.1,2022-09-23
2200460,Hoàng Thị Khanh,Kỹ thuật Công nghệ,4,Đà Nẵng,15,2.82,10.4,2022-09-23
2200461,Hoàng Thanh Trang,Kinh tế,3,Lâm Đồng,17,2.18,9.0,2022-09-18
2200462,Phan Ngọc Quân,Ngôn ngữ,1,Khánh Hòa,18,2.41,11.1,2022-09-08
2200463,Trần Hữu Bình,Luật,1,TP. Hồ Chí Minh,18,3.14,12.1,2022-09-25
2200464,Huỳnh Quốc Mai,Ngôn ngữ,3,Đồng Nai,24,2.57,11.8,2022-09-15
2200465,Lê Thị Hùng,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,17,3.17,6.2,2022-09-16
2200466,Đặng Hữu Khanh,Luật,4,TP. Hồ Chí Minh,22,2.73,7.2,2022-09-18
2200467,Vũ Văn Quân,Kỹ thuật Công nghệ,3,Đà Nẵng,22,2.35,15.6,2022-09-08
2200468,Nguyễn Minh Linh,Ngôn ngữ,1,Hà Nội,16,1.88,6.7,2022-09-18
2200469,Hoàng Gia Quân,Luật,3,Hà Nội,23,1.45,4.1,2022-09-23
2200470,Phạm Hữu Thảo,Kỹ thuật Công nghệ,2,Bình Dương,19,3.36,2.7,2022-09-09
2200471,Đặng Minh Bình,Kinh tế,4,TP. Hồ Chí Minh,23,2.42,3.7,2022-09-14
2200472,Hoàng Hữu Oanh,Luật,1,Bình Dương,18,,9.6,2022-09-16
2200473,Trần Ngọc Tuấn,Kinh tế,2,TP. Hồ Chí Minh,19,3.08,7.6,2022-09-08
2200474,Trần Ngọc Oanh,Luật,4,Hà Nội,20,2.65,12.3,2022-09-22
2200475,Vũ Quốc Giang,Du lịch,3,TP. Hồ Chí Minh,19,2.88,3.1,2022-09-15
2200476,Trần Hữu Oanh,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,22,2.96,10.7,2022-09-18
2200477,Trần Thanh Chi,Kỹ thuật Công nghệ,1,Bình Dương,12,,15.7,2022-09-15
2200478,Lê Hữu Oanh,Kỹ thuật Công nghệ,2,Hà Nội,13,2.85,9.2,2022-09-05
2200479,Phan Quốc Dũng,Ngôn ngữ,4,TP. Hồ Chí Minh,18,2.66,10.7,2022-09-22
2200480,Lê Hữu Sơn,Kinh tế,2,Đà Nẵng,12,3.08,11.3,2022-09-11
2200481,Vũ Ngọc Hà,Du lịch,1,TP. Hồ Chí Minh,15,2.64,8.1,2022-09-18
2200482,Hoàng Quốc Nam,Luật,3,Lâm Đồng,19,2.38,3.2,2022-09-15
2200483,Phan Ngọc Quân,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,12,2.99,6.1,2022-09-06
2200484,Lê Minh Phúc,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,22,2.8,9.5,2022-09-22
2200485,Hoàng Thị Hà,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,15,2.27,8.1,2022-09-22
2200486,Phạm Quốc Linh,Du lịch,2,Cần Thơ,17,2.49,6.4,2022-09-12
2200487,Lê Thanh Bình,Kỹ thuật Công nghệ,3,TP. Hồ Chí Minh,15,2.64,7.6,2022-09-09
2200488,Trần Hữu Linh,Kinh tế,2,TP. Hồ Chí Minh,23,2.32,15.9,2022-09-09
2200489,Phan Ngọc Hùng,Kinh tế,2,Cần Thơ,20,2.65,10.5,2022-09-14
2200490,Hoàng Hữu Hà,Kỹ thuật Công nghệ,1,TP. Hồ Chí Minh,16,1.5,2.5,2022-09-24
2200491,Đặng Thị Chi,Kỹ thuật Công nghệ,4,TP. Hồ Chí Minh,14,2.96,8.1,2022-09-09
2200492,Đặng Thị Tuấn,Kỹ thuật Công nghệ,1,Hà Nội,16,1.43,3.2,2022-09-12
2200493,Trần Gia Bình,Kỹ thuật Công nghệ,4,Khánh Hòa,20,3.26,13.3,2022-09-05
2200494,Lê Thanh Quân,Kinh tế,1,Đồng Nai,24,,7.9,2022-09-13
2200495,Hoàng Hữu Vy,Kinh tế,1,TP. Hồ Chí Minh,14,2.84,5.0,2022-09-11
2200496,Vũ Thanh Mai,Kỹ thuật Công nghệ,2,,21,2.44,7.6,2022-09-20
2200497,Nguyễn Ngọc Quân,Kinh tế,2,Cần Thơ,17,1.46,7.6,2022-09-25
2200498,Hoàng Văn Trang,Luật,2,Lâm Đồng,23,2.72,11.9,2022-09-09
2200499,Đặng Văn Mai,Du lịch,2,TP. Hồ Chí Minh,24,2.77,15.1,2022-09-09
2200500,Bùi Văn Oanh,Du lịch,4,TP. Hồ Chí Minh,15,3.23,13.1,2022-09-19
2200501,Đặng Gia Linh,Luật,1,TP. Hồ Chí Minh,19,2.43,13.3,2022-09-24
2200502,Huỳnh Hữu Bình,Kỹ thuật Công nghệ,1,Bình Dương,16,2.34,11.3,2022-09-20
2200503,Phan Hữu Oanh,Kỹ thuật Công nghệ,3,Khánh Hòa,12,2.9,10.2,2022-09-08
2200504,Hoàng Ngọc Tuấn,Kỹ thuật Công nghệ,2,TP. Hồ Chí Minh,16,2.62,0.7,2022-09-20
2200505,Phạm Quốc Vy,Kỹ thuật Công nghệ,4,Hà Nội,24,3.3,11.1,2022-09-07
2200506,Phan Văn Phúc,Du lịch,3,TP. Hồ Chí Minh,17,2.34,10.4,2022-09-18
2200507,Đặng Ngọc Linh,Kinh tế,3,TP. Hồ Chí Minh,20,3.32,8.8,2022-09-23
2200508,Trần Thanh Bình,Kỹ thuật Công nghệ,3,Lâm Đồng,12,2.68,9.4,2022-09-19
2200509,Huỳnh Minh Hà,Ngôn ngữ,4,Lâm Đồng,20,3.35,11.3,2022-09-12
